item,time_ms,fps,detections
0000314_00000_d_0000142_jpg.rf.99ce8748d7da91e3f7496f412d2e9be0.jpg,289.3840,3.4556,11
0000314_00500_d_0000143_jpg.rf.6c979d874d33c6d4ff3cc84bac55e683.jpg,289.4030,3.4554,14
0000314_01000_d_0000144_jpg.rf.78b7111d461b0f2cd61c7939d496e4ce.jpg,289.4800,3.4545,9
0000314_01500_d_0000145_jpg.rf.66630fc30319e6c0f06a70179e01e457.jpg,289.8290,3.4503,9
0000314_01908_d_0000146_jpg.rf.6f2ba380c43ad7261ffb8c9aa411b05d.jpg,289.5300,3.4539,13
0000320_00150_d_0000003_jpg.rf.8c6d8347a4f4a4e5fc0c233937ad8ecf.jpg,290.6270,3.4408,22
0000320_00300_d_0000004_jpg.rf.90edd28fdd917be73cb2787222757a4a.jpg,290.4330,3.4431,15
0000320_00450_d_0000005_jpg.rf.179628072c78dc5208a0cc450f55d244.jpg,288.9660,3.4606,4
0000320_00600_d_0000006_jpg.rf.8940fd8979ab94d3a63de3194f66f7de.jpg,289.8160,3.4505,5
0000320_00750_d_0000007_jpg.rf.1e80eeb790dbbec587effe6f59020194.jpg,289.3900,3.4555,10
0000320_00900_d_0000008_jpg.rf.8a62adec46fc0c9622e20d9556a28091.jpg,289.8990,3.4495,14
0000320_01050_d_0000009_jpg.rf.6a0fd897fcf017febedcc93dfc9629c6.jpg,289.5000,3.4542,17
0000320_01200_d_0000010_jpg.rf.4df918838b30349a5727e3f4cc279e42.jpg,289.3980,3.4554,17
0000320_03950_d_0000011_jpg.rf.ad8cf99a0d1d81a711e97c8bdbd2d856.jpg,290.4660,3.4427,22
0000320_04050_d_0000012_jpg.rf.052ef473dd0c02e25c2b5595df7d184f.jpg,289.2720,3.4570,18
0000320_04200_d_0000013_jpg.rf.6df03cab4e273cca17f09359a51d0aed.jpg,289.3090,3.4565,12
0000320_04375_d_0000014_jpg.rf.4b4f42021f48943f45797114867bd296.jpg,289.8820,3.4497,5
0000321_00000_d_0000015_jpg.rf.ccc5d53eabfa6ca7665fa5e6fc961c62.jpg,289.2860,3.4568,5
0000321_00268_d_0000016_jpg.rf.27d2c42fc6f846fc33628878e61ccef8.jpg,289.6380,3.4526,2
0000328_00150_d_0000019_jpg.rf.9b6724232efd20845c84f0c403f09a93.jpg,289.5270,3.4539,3
0000328_00300_d_0000020_jpg.rf.adca671175fc322834b8fed99f9722c0.jpg,289.7480,3.4513,5
0000328_00600_d_0000022_jpg.rf.41c96b158917d84d7def97275f3360c3.jpg,289.1840,3.4580,6
0000328_01050_d_0000025_jpg.rf.6f6830634514f90bbf01d4fcb946de2c.jpg,289.4460,3.4549,4
0000337_00500_d_0000037_jpg.rf.2f9907b237adbf905662c2af810cecef.jpg,292.7310,3.4161,8
0000337_01000_d_0000038_jpg.rf.8d010ba76314693b0c61beb7eb943afb.jpg,289.7370,3.4514,7
0000337_01500_d_0000039_jpg.rf.349fa272c2183700a8ffcef0464e25d6.jpg,289.6900,3.4520,5
0000337_02000_d_0000040_jpg.rf.22f4ca719f721edb9ae075a571236f3a.jpg,290.8960,3.4377,11
0000337_02500_d_0000041_jpg.rf.ad4f6698e007efee47c48e9323e3f9a7.jpg,289.5680,3.4534,8
0000337_03000_d_0000042_jpg.rf.f5902f8457311ce4522d62f5d9944337.jpg,289.1310,3.4586,5
0000337_03500_d_0000043_jpg.rf.cf7b96c0649986487925b16f2b622ba2.jpg,289.3490,3.4560,6
0000337_04000_d_0000044_jpg.rf.cdf35f127b174428f7d888e497356a56.jpg,291.0160,3.4362,2
0000337_04362_d_0000045_jpg.rf.dfda89d78d06a7d515912418b75abbb8.jpg,289.4520,3.4548,3
0000347_00000_d_0000046_jpg.rf.cda65192e191fba76b3ba61c0d730b8d.jpg,289.2450,3.4573,6
